,open,high,low,close_SPY,volume,OPEN,HIGH,LOW,CLOSE_vix,DTB3
2024-04-30,508.56,509.56,501.98,501.98,77483566,14.82,15.9,14.67,15.65,5.25
2024-05-01,501.38,508.19,499.865,500.35,80242839,15.75,16.22,14.35,15.39,5.26
2024-05-02,504.15,505.89,499.55,505.03,62550179,15.14,16.09,14.6,14.68,5.25
2024-05-03,511.16,512.55,508.56,511.29,72756709,14.51,14.58,13.48,13.49,5.25
2024-05-06,513.75,516.61,513.3,516.57,47264703,13.98,14.02,13.44,13.49,5.25
2024-05-07,517.56,518.57,516.45,517.14,52561299,13.52,13.64,13.16,13.23,5.25
2024-05-08,515.26,517.74,515.14,517.19,42047214,13.24,13.51,12.94,13.0,5.25
2024-05-09,517.38,520.2074,516.705,520.17,43643668,13.08,13.29,12.68,12.69,5.25
2024-05-10,521.81,522.635,519.59,520.84,52233171,12.77,12.96,12.5,12.55,5.26
2024-05-13,522.56,522.67,519.74,520.91,36716361,13.26,13.66,13.25,13.6,5.25
2024-05-14,521.11,523.83,520.56,523.3,57535867,13.71,14.03,13.27,13.42,5.24
2024-05-15,525.83,530.08,525.18,529.78,59504897,13.73,13.94,12.38,12.45,5.25
2024-05-16,529.88,531.5218,528.54,528.69,50244827,12.52,12.67,12.33,12.42,5.25
2024-05-17,528.81,529.52,527.32,529.45,59187585,12.28,12.48,11.91,11.99,5.25
2024-05-20,529.57,531.5601,529.17,530.06,37764206,12.27,12.59,12.07,12.15,5.25
2024-05-21,529.28,531.52,529.07,531.36,33437001,12.3,12.56,11.84,11.86,5.25
2024-05-22,530.65,531.38,527.6,529.83,48389968,12.05,12.81,11.78,12.29,5.25
2024-05-23,532.96,533.07,524.72,525.96,57211197,11.53,13.37,11.52,12.77,5.26
2024-05-24,527.85,530.27,526.881,529.44,41291076,12.86,12.89,11.89,11.93,5.26
2024-05-28,530.27,530.51,527.11,529.81,36269602,12.51,13.44,12.36,12.92,5.26
2024-05-29,525.68,527.31,525.37,526.1,45190323,13.75,14.32,13.69,14.28,5.26
2024-05-30,524.52,525.2,521.33,522.61,46468510,14.82,14.88,13.67,14.47,5.26
2024-05-31,523.59,527.5,518.36,527.37,90785755,14.5,14.87,12.84,12.92,5.25
2024-06-03,529.02,529.31,522.6,527.8,46835702,13.08,14.31,13.0,13.11,5.26
2024-06-04,526.46,529.15,524.96,528.39,34632661,13.51,14.08,13.11,13.16,5.25
2024-06-05,530.77,534.69,528.7254,534.67,47610365,13.14,13.25,12.6,12.63,5.25
2024-06-06,534.98,535.42,532.68,534.66,30808530,12.75,12.98,12.54,12.58,5.25
2024-06-07,533.66,536.89,532.535,534.01,43224525,12.69,13.08,12.11,12.22,5.26
2024-06-10,533.18,535.99,532.57,535.66,35729252,13.09,13.28,12.62,12.74,5.25
2024-06-11,534.07,537.01,532.05,536.95,36383411,12.85,13.47,12.78,12.85,5.25
2024-06-12,541.63,544.12,540.3,541.36,63251305,13.1,13.15,11.94,12.04,5.25
2024-06-13,543.15,543.325,539.59,542.45,44760949,12.05,12.68,11.88,11.94,5.25
2024-06-14,540.88,542.81,539.85,542.78,40089895,12.22,13.45,12.12,12.66,5.25
2024-06-17,542.08,548.53,541.6072,547.1,55839457,13.07,13.29,12.5,12.75,5.25
2024-06-18,547.16,548.62,546.73,548.49,41376417,12.7,12.74,12.24,12.3,5.24
2024-06-20,549.44,550.12,545.18,547.0,70328226,12.5,13.55,12.18,13.28,5.24
2024-06-21,544.4,545.65,543.02,544.51,64513859,13.22,13.78,12.99,13.2,5.23
2024-06-24,544.33,546.95,542.62,542.74,45528654,13.85,13.88,13.15,13.33,5.24
2024-06-25,543.99,545.2,542.44,544.83,38273346,13.48,13.52,12.84,12.84,5.23
2024-06-26,543.69,546.24,543.03,545.51,38550637,12.81,13.24,12.37,12.55,5.24
2024-06-27,545.37,546.96,544.61,546.37,35041480,12.69,12.77,12.21,12.24,5.23
2024-06-28,547.16,550.28,542.95,544.22,76144535,12.24,12.76,11.87,12.44,5.22
2024-07-01,545.63,545.88,542.52,545.34,40297810,12.98,13.26,12.1,12.22,5.24
2024-07-02,543.7,549.01,543.65,549.01,40434792,12.67,12.88,11.85,12.03,5.24
2024-07-03,548.69,551.83,548.65,551.46,32789911,12.13,12.23,11.95,12.09,5.24
2024-07-05,551.77,555.05,551.12,554.64,41488389,12.37,12.61,11.84,12.48,5.23
2024-07-08,555.44,556.2501,554.19,555.28,36110451,12.91,12.91,12.31,12.37,5.23
2024-07-09,556.26,557.18,555.52,555.82,27314125,12.48,12.61,12.35,12.51,5.23
2024-07-10,557.07,561.67,556.77,561.32,38701220,12.51,12.92,12.39,12.85,5.23
2024-07-11,561.44,562.33,555.83,556.48,53054184,12.88,13.33,12.23,12.92,5.21
2024-07-12,557.63,563.67,557.15,559.99,53084405,12.87,12.89,12.11,12.46,5.21
2024-07-15,562.03,564.8371,559.63,561.53,40584293,12.78,13.26,12.75,13.12,5.2
2024-07-16,562.865,565.16,562.1,564.86,36475260,13.38,13.47,12.95,13.19,5.2
2024-07-17,558.8,560.51,556.61,556.94,57118956,13.6,14.88,13.54,14.48,5.2
2024-07-18,558.51,559.52,550.43,552.66,56270392,14.27,16.43,14.08,15.93,5.21
2024-07-19,552.42,554.08,547.91,548.99,65509081,16.44,17.19,10.62,16.52,5.2
2024-07-22,553.0,555.27,551.02,554.65,43346720,16.79,16.89,14.75,14.91,5.19
2024-07-23,554.54,556.735,553.275,553.78,34439561,15.21,15.35,13.9,14.72,5.18
2024-07-24,548.86,549.17,540.29,541.23,74515266,15.35,18.46,15.18,18.04,5.18
2024-07-25,541.35,547.455,537.45,538.41,61158288,18.41,19.36,16.42,18.46,5.17
2024-07-26,542.28,547.19,541.49,544.44,53763788,17.97,18.05,16.37,16.39,5.16
2024-07-29,546.02,547.05,542.72,544.76,39515824,16.59,17.21,16.23,16.6,5.15
2024-07-30,546.26,547.34,538.515,542.0,46853632,16.64,18.32,16.26,17.69,5.14
2024-07-31,548.98,553.5,547.5799,550.81,65663388,16.66,16.77,15.71,16.36,5.15
2024-08-01,552.57,554.8688,539.43,543.01,76428732,16.2,19.48,15.95,18.59,5.12
2024-08-02,535.75,536.99,528.6,532.9,82789070,20.52,29.66,20.01,23.39,5.05
2024-08-05,511.64,523.58,510.27,517.38,146267391,23.39,65.73,23.39,38.57,5.09
2024-08-06,519.22,529.75,517.87,522.15,84826312,33.71,34.77,24.02,27.71,5.09
2024-08-07,528.47,531.59,518.0519,518.66,70698340,24.77,29.76,21.97,27.85,5.09
2024-08-08,523.91,531.29,521.84,530.65,63276589,28.34,29.47,23.36,23.79,5.09
2024-08-09,529.81,534.51,528.56,532.99,45619558,23.78,24.52,20.26,20.37,5.09
2024-08-12,534.21,535.73,530.95,533.27,42542069,20.79,21.19,18.89,20.71,5.07
2024-08-13,536.53,542.28,536.28,542.04,52333073,20.06,20.79,17.95,18.12,5.06
2024-08-14,542.85,544.96,540.12,543.75,42446929,18.41,18.49,16.12,16.19,5.07
2024-08-15,549.5,553.36,548.88,553.07,60846812,16.27,16.68,14.77,15.23,5.09
2024-08-16,551.42,555.02,551.26,554.31,44430728,15.29,15.76,14.65,14.8,5.08
2024-08-19,554.73,559.61,553.86,559.61,39121793,15.94,16.07,14.46,14.65,5.06
2024-08-20,559.15,560.84,557.325,558.7,33732264,14.89,15.93,14.78,15.88,5.04
2024-08-21,559.77,562.11,554.73,560.62,41514600,16.25,17.17,15.92,16.27,5.02
2024-08-22,562.56,563.18,554.98,556.22,56121456,16.27,18.06,15.76,17.55,5.04
2024-08-23,559.53,563.09,557.29,562.13,50639393,17.12,17.21,15.61,15.86,5.01
2024-08-26,563.18,563.91,559.05,560.79,35788609,16.27,16.67,15.81,16.15,4.98
2024-08-27,559.49,562.06,558.32,561.56,32693898,16.21,16.81,15.37,15.43,4.98
2024-08-28,561.21,561.65,555.04,558.3,41066024,15.51,17.89,15.46,17.11,4.96
2024-08-29,560.31,563.68,557.18,558.35,38715176,16.54,16.57,15.19,15.65,4.98
2024-08-30,560.77,564.2,557.14,563.68,62700110,15.67,16.04,14.78,15.0,4.98
2024-09-03,560.47,560.81,549.51,552.08,60600113,15.76,21.99,15.71,20.72,4.97
2024-09-04,550.2,554.43,549.46,550.95,46232483,23.2,23.31,19.34,21.32,4.96
2024-09-05,550.89,553.7995,547.1,549.61,44264258,20.75,21.53,19.21,19.9,4.94
2024-09-06,549.94,551.6,539.44,540.36,68493805,21.98,23.76,18.83,22.38,4.93
2024-09-09,544.65,547.71,542.68,546.41,40445822,21.32,21.41,19.29,19.45,4.89
2024-09-10,548.36,549.15,543.38,548.79,36394579,19.86,20.74,18.9,19.08,4.85
2024-09-11,548.7,555.36,539.96,554.42,75248608,19.41,21.41,17.55,17.69,4.89
2024-09-12,555.01,559.4,552.74,559.09,51892735,17.62,18.59,16.89,17.07,4.85
2024-09-13,559.71,563.03,559.45,562.01,39310501,17.03,17.18,16.23,16.56,4.78
2024-09-16,561.74,563.11,559.9,562.84,36656122,17.16,17.69,16.91,17.14,4.75
2024-09-17,565.1,566.58,560.795,563.07,49320970,17.16,18.08,16.67,17.61,4.75
2024-09-18,563.74,568.69,560.83,561.4,59044937,17.58,19.39,17.11,18.23,4.65
2024-09-19,571.01,572.88,568.08,570.98,75315470,17.21,17.27,16.21,16.33,4.61
2024-09-20,567.84,569.31,565.17,568.25,77503110,16.35,16.68,15.81,16.15,4.56
2024-09-23,569.34,570.3325,568.1,569.67,44116922,16.71,16.95,15.75,15.89,4.53
2024-09-24,570.48,571.36,567.6,571.3,46805672,15.87,16.67,15.27,15.39,4.5
2024-09-25,571.14,571.89,568.91,570.04,38428587,15.82,15.82,15.17,15.41,4.51
2024-09-26,574.38,574.71,569.9,572.3,48336004,15.06,15.83,14.9,15.37,4.5
2024-09-27,573.39,574.22,570.42,571.47,42100928,15.64,16.97,15.2,16.96,4.5
2024-09-30,570.42,574.38,568.08,573.76,63655448,17.01,17.79,16.47,16.73,4.52
2024-10-01,573.4,574.0622,566.0,568.62,72668778,16.96,20.73,16.61,19.26,4.5
2024-10-02,567.71,569.9,565.27,568.86,38097798,19.65,20.36,18.58,18.9,4.48
2024-10-03,567.36,569.8025,565.49,567.82,40846466,19.63,20.75,19.16,20.49,4.48
2024-10-04,572.35,573.36,568.1,572.98,43005186,20.48,20.48,18.48,19.21,4.53
2024-10-07,571.3,571.9599,566.63,567.8,49964690,20.76,23.03,20.65,22.64,4.55
2024-10-08,570.42,573.78,569.5299,573.17,37398693,22.92,23.14,21.14,21.42,4.53
2024-10-09,573.16,577.71,572.55,577.14,37912244,21.98,22.01,20.71,20.86,4.54
2024-10-10,575.77,577.58,574.49,576.13,44138060,20.91,21.39,20.64,20.93,4.54
2024-10-11,576.05,580.33,575.91,579.58,42267994,20.87,21.16,20.14,20.46,4.53
2024-10-14,581.22,585.27,580.73,584.32,36217215,20.86,20.86,19.69,19.7,4.52
2024-10-15,584.59,584.9,578.545,579.78,54203636,19.61,20.89,19.44,20.64,4.52
