,date,underlying_price,implied_volatility,risk_free_rate
0,2024-04-30,501.98,0.1565,5.25
1,2024-05-01,500.35,0.1539,5.26
2,2024-05-02,505.03,0.14679999999999999,5.25
3,2024-05-03,511.29,0.1349,5.25
4,2024-05-06,516.57,0.1349,5.25
5,2024-05-07,517.14,0.1323,5.25
6,2024-05-08,517.19,0.13,5.25
7,2024-05-09,520.17,0.12689999999999999,5.25
8,2024-05-10,520.84,0.1255,5.26
9,2024-05-13,520.91,0.136,5.25
10,2024-05-14,523.3,0.13419999999999999,5.24
11,2024-05-15,529.78,0.1245,5.25
12,2024-05-16,528.69,0.12419999999999999,5.25
13,2024-05-17,529.45,0.1199,5.25
14,2024-05-20,530.06,0.12149999999999998,5.25
15,2024-05-21,531.36,0.1186,5.25
16,2024-05-22,529.83,0.12290000000000001,5.25
17,2024-05-23,525.96,0.1277,5.26
18,2024-05-24,529.44,0.1193,5.26
19,2024-05-28,529.81,0.1292,5.26
20,2024-05-29,526.1,0.14279999999999998,5.26
21,2024-05-30,522.61,0.1447,5.26
22,2024-05-31,527.37,0.1292,5.25
23,2024-06-03,527.8,0.1311,5.26
24,2024-06-04,528.39,0.1316,5.25
25,2024-06-05,534.67,0.1263,5.25
26,2024-06-06,534.66,0.1258,5.25
27,2024-06-07,534.01,0.1222,5.26
28,2024-06-10,535.66,0.1274,5.25
29,2024-06-11,536.95,0.1285,5.25
30,2024-06-12,541.36,0.1204,5.25
31,2024-06-13,542.45,0.11939999999999999,5.25
32,2024-06-14,542.78,0.1266,5.25
33,2024-06-17,547.1,0.1275,5.25
34,2024-06-18,548.49,0.12300000000000003,5.24
35,2024-06-20,547.0,0.1328,5.24
36,2024-06-21,544.51,0.132,5.23
37,2024-06-24,542.74,0.1333,5.24
38,2024-06-25,544.83,0.1284,5.23
39,2024-06-26,545.51,0.1255,5.24
40,2024-06-27,546.37,0.1224,5.23
41,2024-06-28,544.22,0.1244,5.22
42,2024-07-01,545.34,0.1222,5.24
43,2024-07-02,549.01,0.12029999999999998,5.24
44,2024-07-03,551.46,0.1209,5.24
45,2024-07-05,554.64,0.1248,5.23
46,2024-07-08,555.28,0.12369999999999999,5.23
47,2024-07-09,555.82,0.1251,5.23
48,2024-07-10,561.32,0.1285,5.23
49,2024-07-11,556.48,0.1292,5.21
50,2024-07-12,559.99,0.12459999999999999,5.21
51,2024-07-15,561.53,0.13119999999999998,5.2
52,2024-07-16,564.86,0.1319,5.2
53,2024-07-17,556.94,0.1448,5.2
54,2024-07-18,552.66,0.15930000000000002,5.21
55,2024-07-19,548.99,0.16519999999999999,5.2
56,2024-07-22,554.65,0.1491,5.19
57,2024-07-23,553.78,0.1472,5.18
58,2024-07-24,541.23,0.1804,5.18
59,2024-07-25,538.41,0.18460000000000004,5.17
60,2024-07-26,544.44,0.16390000000000005,5.16
61,2024-07-29,544.76,0.166,5.15
62,2024-07-30,542.0,0.17689999999999997,5.14
63,2024-07-31,550.81,0.1636,5.15
64,2024-08-01,543.01,0.18590000000000004,5.12
65,2024-08-02,532.9,0.23389999999999997,5.05
66,2024-08-05,517.38,0.3857,5.09
67,2024-08-06,522.15,0.2771,5.09
68,2024-08-07,518.66,0.2785,5.09
69,2024-08-08,530.65,0.2379,5.09
70,2024-08-09,532.99,0.20370000000000002,5.09
71,2024-08-12,533.27,0.2071,5.07
72,2024-08-13,542.04,0.1812,5.06
73,2024-08-14,543.75,0.16190000000000002,5.07
74,2024-08-15,553.07,0.1523,5.09
75,2024-08-16,554.31,0.14800000000000002,5.08
76,2024-08-19,559.61,0.1465,5.06
77,2024-08-20,558.7,0.1588,5.04
78,2024-08-21,560.62,0.16269999999999998,5.02
79,2024-08-22,556.22,0.17550000000000002,5.04
80,2024-08-23,562.13,0.15860000000000002,5.01
81,2024-08-26,560.79,0.16149999999999995,4.98
82,2024-08-27,561.56,0.1543,4.98
